                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.00034,                0.95048,                0.99238,                 0.0508,                0.01189,                0.01189,                0.01189
                     91,                0.00033,                0.94857,                0.99048,                 0.0493,                 0.0109,                 0.0109,                 0.0109
                     92,                0.00035,                0.95619,                0.99238,                0.05143,                0.00991,                0.00991,                0.00991
                     93,                0.00032,                0.95429,                0.99048,                0.05289,                0.00892,                0.00892,                0.00892
                     94,                0.00029,                0.95429,                0.99048,                0.05232,                0.00793,                0.00793,                0.00793
                     95,                0.00036,                0.95619,                0.99238,                0.05111,                0.00694,                0.00694,                0.00694
                     96,                0.00035,                   0.96,                0.99238,                0.04979,                0.00595,                0.00595,                0.00595
                     97,                0.00034,                0.95429,                0.99238,                 0.0507,                0.00496,                0.00496,                0.00496
                     98,                 0.0003,                0.95238,                0.99238,                0.05043,                0.00397,                0.00397,                0.00397
                     99,                0.00033,                 0.9581,                0.99048,                  0.053,                0.00298,                0.00298,                0.00298
